config_id,stack_id,component_id,component_type,config_name,config_json,component_listing,row_id,config_row_json,job_id,job_start_at,job_status
8625_kbc-us-east-1_keboola.ex-db-snowflake_1021807645,kbc-us-east-1,keboola.ex-db-snowflake,extractor,"testMatcherInvalidConfiguration with data set ""non orchestration job""",{},public,,,,,
8625_kbc-us-east-1_keboola.ex-db-snowflake_1076700662,kbc-us-east-1,keboola.ex-db-snowflake,extractor,public-api-test,{},public,,,,,
8625_kbc-us-east-1_keboola.ex-db-snowflake_1230952883,kbc-us-east-1,keboola.ex-db-snowflake,extractor,Snowflake Database Extractor,"{""storage"":{""input"":{""tables"":[]}},""parameters"":{""db"":{""port"":443,""host"":""kebooladev.snowflakecomputing.com"",""user"":""HELP_TUTORIAL"",""#password"":""' . () . '"",""database"":""HELP_TUTORIAL"",""schema"":""HELP_TUTORIAL"",""warehouse"":""DEV""}}}",public,8625_kbc-us-east-1_keboola.ex-db-snowflake_1230952883_1230952907,"{""processors"":[],""parameters"":{""columns"":[],""primaryKey"":[],""incremental"":false,""outputTable"":""in.c-keboola-ex-db-snowflake-1228667734.OPPORTUNITY"",""table"":{""schema"":""HELP_TUTORIAL"",""tableName"":""OPPORTUNITY""}}}",1230952915_kbc-us-east-1,2025-02-28T15:42:30Z,error
8625_kbc-us-east-1_keboola.ex-db-snowflake_1230953615,kbc-us-east-1,keboola.ex-db-snowflake,extractor,Snowflake Database Extractor,"{""storage"":{""input"":{""tables"":[]}},""parameters"":{""db"":{""port"":443,""host"":""kebooladev.snowflakecomputing.com"",""user"":""HELP_TUTORIAL"",""#password"":""' . () . '"",""database"":""HELP_TUTORIAL"",""schema"":""HELP_TUTORIAL"",""warehouse"":""DEV""}}}",public,8625_kbc-us-east-1_keboola.ex-db-snowflake_1230953615_1230953867,"{""processors"":[],""parameters"":{""columns"":[],""primaryKey"":[],""incremental"":false,""outputTable"":""in.c-keboola-ex-db-snowflake-1228667734.OPPORTUNITY"",""table"":{""schema"":""HELP_TUTORIAL"",""tableName"":""OPPORTUNITY""}}}",1230953897_kbc-us-east-1,2025-02-28T15:47:28Z,error
8625_kbc-us-east-1_keboola.ex-db-snowflake_1230973581,kbc-us-east-1,keboola.ex-db-snowflake,extractor,Snowflake Database Extractor,"{""storage"":{""input"":{""tables"":[]}},""parameters"":{""db"":{""port"":443,""host"":""kebooladev.snowflakecomputing.com"",""user"":""HELP_TUTORIAL"",""#password"":""' . () . '"",""database"":""HELP_TUTORIAL"",""schema"":""HELP_TUTORIAL"",""warehouse"":""DEV""}}}",public,8625_kbc-us-east-1_keboola.ex-db-snowflake_1230973581_1230973741,"{""processors"":[],""parameters"":{""columns"":[],""primaryKey"":[],""incremental"":false,""outputTable"":""in.c-keboola-ex-db-snowflake-1228667734.OPPORTUNITY"",""table"":{""schema"":""HELP_TUTORIAL"",""tableName"":""OPPORTUNITY""}}}",1230973805_kbc-us-east-1,2025-02-28T17:19:21Z,error
8625_kbc-us-east-1_keboola.ex-db-snowflake_1230974939,kbc-us-east-1,keboola.ex-db-snowflake,extractor,Snowflake Database Extractor,{},public,,,,,
8625_kbc-us-east-1_keboola.ex-db-snowflake_1232564255,kbc-us-east-1,keboola.ex-db-snowflake,extractor,Snowflake,"{""parameters"":{""db"":{""port"":443,""host"":""kebooladev.snowflakecomputing.com"",""user"":""HELP_TUTORIAL"",""#password"":""KBC::ProjectSecure::eJwBOAHH\/mE6Mjp7aTowO3M6OTc6It71AgCgmWGKQlNpkJUYCVzNLbA8\/\/ek1LUjQfKtWNqssG53K6yVhRwbzbhsfaMT+Mu6Iioz7fxm2GE0GthrF4EwnQZqb3\/aNe5m8nYYKcdSCalELAJ\/54oYcRsYiQHNcb0iO2k6MTtzOjE4NDoiAQIDAHhlXs9v5x5d+klIkL9bzyaH5qzvWHJt2fGW9czDhWdtwAFUkKaQnxImVLrEBRKtELHNAAAAfjB8BgkqhkiG9w0BBwagbzBtAgEAMGgGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMaR1pM9LXhF56LQxfAgEQgDu02fVQOg9kmoH7qiu5tVZgPn\/vTi\/V\/5rYTPSDjzlOkdVIrbJPryOeQmkQYqmHQy4tNLG9xQ\/qFtC7ACI7fbp\/fkY="",""database"":""HELP_TUTORIAL"",""schema"":""HELP_TUTORIAL"",""warehouse"":""DEV""}}}",public,8625_kbc-us-east-1_keboola.ex-db-snowflake_1232564255_60125,"{""processors"":{},""parameters"":{""columns"":[],""primaryKey"":[],""incremental"":false,""outputTable"":""in.c-keboola-ex-db-snowflake-1232564255.DATATYPES"",""table"":{""schema"":""HELP_TUTORIAL"",""tableName"":""DATATYPES""}}}",1232564845_kbc-us-east-1,2025-03-07T11:14:37Z,success
8625_kbc-us-east-1_keboola.ex-db-snowflake_1232564255,kbc-us-east-1,keboola.ex-db-snowflake,extractor,Snowflake,"{""parameters"":{""db"":{""port"":443,""host"":""kebooladev.snowflakecomputing.com"",""user"":""HELP_TUTORIAL"",""#password"":""KBC::ProjectSecure::eJwBOAHH\/mE6Mjp7aTowO3M6OTc6It71AgCgmWGKQlNpkJUYCVzNLbA8\/\/ek1LUjQfKtWNqssG53K6yVhRwbzbhsfaMT+Mu6Iioz7fxm2GE0GthrF4EwnQZqb3\/aNe5m8nYYKcdSCalELAJ\/54oYcRsYiQHNcb0iO2k6MTtzOjE4NDoiAQIDAHhlXs9v5x5d+klIkL9bzyaH5qzvWHJt2fGW9czDhWdtwAFUkKaQnxImVLrEBRKtELHNAAAAfjB8BgkqhkiG9w0BBwagbzBtAgEAMGgGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMaR1pM9LXhF56LQxfAgEQgDu02fVQOg9kmoH7qiu5tVZgPn\/vTi\/V\/5rYTPSDjzlOkdVIrbJPryOeQmkQYqmHQy4tNLG9xQ\/qFtC7ACI7fbp\/fkY="",""database"":""HELP_TUTORIAL"",""schema"":""HELP_TUTORIAL"",""warehouse"":""DEV""}}}",public,8625_kbc-us-east-1_keboola.ex-db-snowflake_1232564255_43533,"{""processors"":{},""parameters"":{""columns"":[],""primaryKey"":[],""incremental"":false,""outputTable"":""in.c-keboola-ex-db-snowflake-1232564255.ACCOUNT"",""table"":{""schema"":""HELP_TUTORIAL"",""tableName"":""ACCOUNT""}}}",1232564845_kbc-us-east-1,2025-03-07T11:14:37Z,success
8625_kbc-us-east-1_keboola.ex-db-snowflake_1232564255,kbc-us-east-1,keboola.ex-db-snowflake,extractor,Snowflake,"{""parameters"":{""db"":{""port"":443,""host"":""kebooladev.snowflakecomputing.com"",""user"":""HELP_TUTORIAL"",""#password"":""KBC::ProjectSecure::eJwBOAHH\/mE6Mjp7aTowO3M6OTc6It71AgCgmWGKQlNpkJUYCVzNLbA8\/\/ek1LUjQfKtWNqssG53K6yVhRwbzbhsfaMT+Mu6Iioz7fxm2GE0GthrF4EwnQZqb3\/aNe5m8nYYKcdSCalELAJ\/54oYcRsYiQHNcb0iO2k6MTtzOjE4NDoiAQIDAHhlXs9v5x5d+klIkL9bzyaH5qzvWHJt2fGW9czDhWdtwAFUkKaQnxImVLrEBRKtELHNAAAAfjB8BgkqhkiG9w0BBwagbzBtAgEAMGgGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMaR1pM9LXhF56LQxfAgEQgDu02fVQOg9kmoH7qiu5tVZgPn\/vTi\/V\/5rYTPSDjzlOkdVIrbJPryOeQmkQYqmHQy4tNLG9xQ\/qFtC7ACI7fbp\/fkY="",""database"":""HELP_TUTORIAL"",""schema"":""HELP_TUTORIAL"",""warehouse"":""DEV""}}}",public,8625_kbc-us-east-1_keboola.ex-db-snowflake_1232564255_80685,"{""processors"":{},""parameters"":{""columns"":[],""primaryKey"":[],""incremental"":false,""outputTable"":""in.c-keboola-ex-db-snowflake-1232564255.OPPORTUNITY"",""table"":{""schema"":""HELP_TUTORIAL"",""tableName"":""OPPORTUNITY""}}}",1232564845_kbc-us-east-1,2025-03-07T11:14:37Z,success
8625_kbc-us-east-1_keboola.ex-db-snowflake_1242795346,kbc-us-east-1,keboola.ex-db-snowflake,extractor,Snowflake Database Extractor,"{""storage"":{""input"":{""tables"":[]}},""parameters"":{""db"":{""port"":443,""host"":""kebooladev.snowflakecomputing.com"",""user"":""HELP_TUTORIAL"",""#password"":""KBC::Secure::eJwBOAHH\/mE6Mjp7aTowO3M6OTc6It71AgAlkZ8SnhjHvV1fzt8iah57EC\/ls8JDQYyc48i43K2Gw36i1BcCCx7wrvF7Z4VNmDEinBdwF5QA8xZ82HDXn8D3pyKqVzsVEtGcvYiivMsfP1jE+Tx9aCJbIqUkVrkiO2k6MTtzOjE4NDoiAQIDAHhlXs9v5x5d+klIkL9bzyaH5qzvWHJt2fGW9czDhWdtwAHSAKsLqVNoaV3tDVpXfabdAAAAfjB8BgkqhkiG9w0BBwagbzBtAgEAMGgGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMi7Dla1GJKeQXoHskAgEQgDuxr9dXnQIu5rAzVIyk52XRc5s9lo9Rx2it1J2LEJgWKsHpBJElpMAtBNJQ7tbImIga95BRZBsQ4z1yGCI7fdASgEc="",""database"":""HELP_TUTORIAL"",""schema"":""HELP_TUTORIAL"",""warehouse"":""DEV""}}}",public,8625_kbc-us-east-1_keboola.ex-db-snowflake_1242795346_1242795414,"{""processors"":[],""parameters"":{""columns"":[],""primaryKey"":[],""incremental"":false,""outputTable"":""in.c-keboola-ex-db-snowflake-1228667734.OPPORTUNITY"",""table"":{""schema"":""HELP_TUTORIAL"",""tableName"":""OPPORTUNITY""}}}",1242795570_kbc-us-east-1,2025-04-22T06:02:56Z,success
8625_kbc-us-east-1_keboola.ex-db-snowflake_1243071053,kbc-us-east-1,keboola.ex-db-snowflake,extractor,Snowflake DB,"{""parameters"":{""db"":{""port"":443,""host"":""kebooladev.snowflakecomputing.com"",""user"":""HELP_TUTORIAL"",""#password"":""KBC::ProjectSecure::eJwBOAHH\/mE6Mjp7aTowO3M6OTc6It71AgB20pKFpUfFKYEEAMRufkJ80hJUTUYqC7aRYD6Xhq17KxHcs\/R76Jo6n8Msz9+HjfxV\/1\/Qzqennlll\/YsmcicIac\/h6mkOzLLCdHSePpzyyaihSjDkvKvwMVgqoXAiO2k6MTtzOjE4NDoiAQIDAHhlXs9v5x5d+klIkL9bzyaH5qzvWHJt2fGW9czDhWdtwAHHJyutJeBFgCsCtsMTE+C0AAAAfjB8BgkqhkiG9w0BBwagbzBtAgEAMGgGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMlAx0gsL8cacNqm9yAgEQgDvlGrUw4yG+mRtwbN5wEWV35II\/S8X0LxaIXeYaqffOVyfX8P28ndENhwHXxWRbC9cRvhV2Jt5XWPjnJCI7fYZlhHA="",""database"":""HELP_TUTORIAL"",""schema"":""HELP_TUTORIAL"",""warehouse"":""DEV""}}}",public,8625_kbc-us-east-1_keboola.ex-db-snowflake_1243071053_28706,"{""processors"":{},""parameters"":{""columns"":[],""primaryKey"":[],""incremental"":false,""outputTable"":""in.c-keboola-ex-db-snowflake-1243071053.ACCOUNT"",""table"":{""schema"":""HELP_TUTORIAL"",""tableName"":""ACCOUNT""}}}",1243078504_kbc-us-east-1,2025-04-23T10:43:06Z,success
8625_kbc-us-east-1_keboola.ex-db-snowflake_1243071053,kbc-us-east-1,keboola.ex-db-snowflake,extractor,Snowflake DB,"{""parameters"":{""db"":{""port"":443,""host"":""kebooladev.snowflakecomputing.com"",""user"":""HELP_TUTORIAL"",""#password"":""KBC::ProjectSecure::eJwBOAHH\/mE6Mjp7aTowO3M6OTc6It71AgB20pKFpUfFKYEEAMRufkJ80hJUTUYqC7aRYD6Xhq17KxHcs\/R76Jo6n8Msz9+HjfxV\/1\/Qzqennlll\/YsmcicIac\/h6mkOzLLCdHSePpzyyaihSjDkvKvwMVgqoXAiO2k6MTtzOjE4NDoiAQIDAHhlXs9v5x5d+klIkL9bzyaH5qzvWHJt2fGW9czDhWdtwAHHJyutJeBFgCsCtsMTE+C0AAAAfjB8BgkqhkiG9w0BBwagbzBtAgEAMGgGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMlAx0gsL8cacNqm9yAgEQgDvlGrUw4yG+mRtwbN5wEWV35II\/S8X0LxaIXeYaqffOVyfX8P28ndENhwHXxWRbC9cRvhV2Jt5XWPjnJCI7fYZlhHA="",""database"":""HELP_TUTORIAL"",""schema"":""HELP_TUTORIAL"",""warehouse"":""DEV""}}}",public,8625_kbc-us-east-1_keboola.ex-db-snowflake_1243071053_9412,"{""processors"":{},""parameters"":{""columns"":[],""primaryKey"":[],""incremental"":false,""outputTable"":""in.c-keboola-ex-db-snowflake-1243071053.cars"",""table"":{""schema"":""HELP_TUTORIAL"",""tableName"":""cars""}}}",1243078504_kbc-us-east-1,2025-04-23T10:43:06Z,success
8625_kbc-us-east-1_keboola.ex-db-snowflake_1245879810,kbc-us-east-1,keboola.ex-db-snowflake,extractor,Snowflake Database Extractor,"{""storage"":{""input"":{""tables"":[]}},""parameters"":{""db"":{""port"":443,""host"":""kebooladev.snowflakecomputing.com"",""user"":""HELP_TUTORIAL"",""#password"":""KBC::Secure::eJwBOAHH\/mE6Mjp7aTowO3M6OTc6It71AgAbWUiGKIn1fGiB+bHhVBNXlidnMaxSNILbQg\/g1wgdOkZqY\/JYQthrWZWy3baLZp+NP+fCS\/BvsvqQSXrcts2rlBHN0A4GVhyWCB0fvT6DWDy6GEZnKp9sSMH4KUciO2k6MTtzOjE4NDoiAQIDAHhlXs9v5x5d+klIkL9bzyaH5qzvWHJt2fGW9czDhWdtwAHOp8\/cm2ZOPopRBMA5UA15AAAAfjB8BgkqhkiG9w0BBwagbzBtAgEAMGgGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMxjc3NhQkCoOZyfEuAgEQgDv3h0V1itr6sW1YPevavFms+INFSmX8JlbDwe7q7Qe8bDNltrLBUsTmcMGNFlEHe0Z89Zom0TZ\/l9nVoyI7fbehggw="",""database"":""HELP_TUTORIAL"",""schema"":""HELP_TUTORIAL"",""warehouse"":""DEV""}}}",public,8625_kbc-us-east-1_keboola.ex-db-snowflake_1245879810_1245879924,"{""processors"":[],""parameters"":{""columns"":[],""primaryKey"":[],""incremental"":false,""outputTable"":""in.c-keboola-ex-db-snowflake-1228667734.OPPORTUNITY"",""table"":{""schema"":""HELP_TUTORIAL"",""tableName"":""OPPORTUNITY""}}}",1245879952_kbc-us-east-1,2025-05-06T10:41:34Z,success
8625_kbc-us-east-1_keboola.ex-db-snowflake_985848094,kbc-us-east-1,keboola.ex-db-snowflake,extractor,test,"{""parameters"":{""db"":{""port"":443,""user"":""HELP_TUTORIAL"",""#password"":""KBC::ProjectSecure::eJwBOAHH\/mE6Mjp7aTowO3M6OTc6It71AgD4Z3A8E0U7Uov8cNzFg2ST+5NQbkZQ8SkyqNxbU8PtcUrBVPK9qrgsQ6ClPw\/Uw54MeVBXkhUsSImOCrPEp7O3lCX879Vyx3bdmRuEDFt\/LbqphpEo6zl\/nDcCShwiO2k6MTtzOjE4NDoiAQIDAHhlXs9v5x5d+klIkL9bzyaH5qzvWHJt2fGW9czDhWdtwAF5ak00rlN\/Hz5MWOUCfx0QAAAAfjB8BgkqhkiG9w0BBwagbzBtAgEAMGgGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQM8mPmO8lh\/H1xF5I5AgEQgDv\/t2e7KAHENjFXJSrYUHR\/dihveNFeG0JMujw08kb5flnwjRrLS6xiXsCFJqPmZL0hit3XNvw2FwVjwyI7fawQfoQ="",""database"":""HELP_TUTORIAL"",""warehouse"":""DEV"",""schema"":""HELP_TUTORIAL"",""host"":""kebooladev.snowflakecomputing.com""}},""runtime"":{""parallelism"":""2""}}",public,8625_kbc-us-east-1_keboola.ex-db-snowflake_985848094_6257,"{""processors"":{},""parameters"":{""columns"":[],""primaryKey"":[],""incremental"":false,""outputTable"":""in.c-keboola-ex-db-snowflake-985848094.ACCOUNT"",""table"":{""schema"":""HELP_TUTORIAL"",""tableName"":""ACCOUNT""}}}",1091475908_kbc-us-east-1,2024-02-26T14:20:18Z,error
8625_kbc-us-east-1_keboola.ex-db-snowflake_985848094,kbc-us-east-1,keboola.ex-db-snowflake,extractor,test,"{""parameters"":{""db"":{""port"":443,""user"":""HELP_TUTORIAL"",""#password"":""KBC::ProjectSecure::eJwBOAHH\/mE6Mjp7aTowO3M6OTc6It71AgD4Z3A8E0U7Uov8cNzFg2ST+5NQbkZQ8SkyqNxbU8PtcUrBVPK9qrgsQ6ClPw\/Uw54MeVBXkhUsSImOCrPEp7O3lCX879Vyx3bdmRuEDFt\/LbqphpEo6zl\/nDcCShwiO2k6MTtzOjE4NDoiAQIDAHhlXs9v5x5d+klIkL9bzyaH5qzvWHJt2fGW9czDhWdtwAF5ak00rlN\/Hz5MWOUCfx0QAAAAfjB8BgkqhkiG9w0BBwagbzBtAgEAMGgGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQM8mPmO8lh\/H1xF5I5AgEQgDv\/t2e7KAHENjFXJSrYUHR\/dihveNFeG0JMujw08kb5flnwjRrLS6xiXsCFJqPmZL0hit3XNvw2FwVjwyI7fawQfoQ="",""database"":""HELP_TUTORIAL"",""warehouse"":""DEV"",""schema"":""HELP_TUTORIAL"",""host"":""kebooladev.snowflakecomputing.com""}},""runtime"":{""parallelism"":""2""}}",public,8625_kbc-us-east-1_keboola.ex-db-snowflake_985848094_40996,"{""processors"":{},""parameters"":{""columns"":[],""primaryKey"":[],""incremental"":false,""outputTable"":""in.c-keboola-ex-db-snowflake-985848094.countries"",""table"":{""schema"":""HELP_TUTORIAL"",""tableName"":""countries""}}}",1042876415_kbc-us-east-1,2023-11-28T12:47:22Z,success
8625_kbc-us-east-1_keboola.ex-db-snowflake_985848094,kbc-us-east-1,keboola.ex-db-snowflake,extractor,test,"{""parameters"":{""db"":{""port"":443,""user"":""HELP_TUTORIAL"",""#password"":""KBC::ProjectSecure::eJwBOAHH\/mE6Mjp7aTowO3M6OTc6It71AgD4Z3A8E0U7Uov8cNzFg2ST+5NQbkZQ8SkyqNxbU8PtcUrBVPK9qrgsQ6ClPw\/Uw54MeVBXkhUsSImOCrPEp7O3lCX879Vyx3bdmRuEDFt\/LbqphpEo6zl\/nDcCShwiO2k6MTtzOjE4NDoiAQIDAHhlXs9v5x5d+klIkL9bzyaH5qzvWHJt2fGW9czDhWdtwAF5ak00rlN\/Hz5MWOUCfx0QAAAAfjB8BgkqhkiG9w0BBwagbzBtAgEAMGgGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQM8mPmO8lh\/H1xF5I5AgEQgDv\/t2e7KAHENjFXJSrYUHR\/dihveNFeG0JMujw08kb5flnwjRrLS6xiXsCFJqPmZL0hit3XNvw2FwVjwyI7fawQfoQ="",""database"":""HELP_TUTORIAL"",""warehouse"":""DEV"",""schema"":""HELP_TUTORIAL"",""host"":""kebooladev.snowflakecomputing.com""}},""runtime"":{""parallelism"":""2""}}",public,8625_kbc-us-east-1_keboola.ex-db-snowflake_985848094_40996,"{""processors"":{},""parameters"":{""columns"":[],""primaryKey"":[],""incremental"":false,""outputTable"":""in.c-keboola-ex-db-snowflake-985848094.countries"",""table"":{""schema"":""HELP_TUTORIAL"",""tableName"":""countries""}}}",1043321970_kbc-us-east-1,2023-11-29T09:55:55Z,success
